frames,position.x_comp,position.y_comp,position.z_comp,rotation.x_comp,rotation.y_comp,rotation.z_comp,rotation.w_comp,Spine Front-Back_comp,Spine Left-Right_comp,Spine Twist Left-Right_comp,Chest Front-Back_comp,Chest Left-Right_comp,Chest Twist Left-Right_comp,Neck Nod Down-Up_comp,Neck Tilt Left-Right_comp,Neck Turn Left-Right_comp,Head Nod Down-Up_comp,Head Tilt Left-Right_comp,Head Turn Left-Right_comp,Left Upper Leg Front-Back_comp,Left Upper Leg In-Out_comp,Left Upper Leg Twist In-Out_comp,Left Lower Leg Stretch_comp,Left Lower Leg Twist In-Out_comp,Left Foot Up-Down_comp,Left Foot Twist In-Out_comp,Right Upper Leg Front-Back_comp,Right Upper Leg In-Out_comp,Right Upper Leg Twist In-Out_comp,Right Lower Leg Stretch_comp,Right Lower Leg Twist In-Out_comp,Right Foot Up-Down_comp,Right Foot Twist In-Out_comp,Left Shoulder Down-Up_comp,Left Shoulder Front-Back_comp,Left Arm Down-Up_comp,Left Arm Front-Back_comp,Left Arm Twist In-Out_comp,Left Forearm Stretch_comp,Left Forearm Twist In-Out_comp,Left Hand Down-Up_comp,Left Hand In-Out_comp,Right Shoulder Down-Up_comp,Right Shoulder Front-Back_comp,Right Arm Down-Up_comp,Right Arm Front-Back_comp,Right Arm Twist In-Out_comp,Right Forearm Stretch_comp,Right Forearm Twist In-Out_comp,Right Hand Down-Up_comp,Right Hand In-Out_comp
10,0.3346251,0.2136354,0.6249865,0.7104632,0.7486129,0.7357969,0.001000871,0.6526173,0.2160142,0.3681988,0.62599,0.6470836,0.477363,0.7502245,0.006499091,0.85703,0.7335105,0.005333573,0.8104203,0.5202484,0.9735279,0.5066416,0.9409947,0.6428046,0.3141351,0.4275586,0.5640832,1.062853,0.8208366,0.9519876,0.2316456,0.4495873,0.05755222,-0.006976618,0.7575669,0.2375068,0.8360058,0.3344965,0.792573,0.8675346,0.4073327,0.7797709,1.149509E-05,0.9999827,0.08653282,0.8712023,0.445899,0.857745,0.7942197,0.1928862,0.6880925
11,0.3346251,0.2136354,0.6249865,0.7104632,0.7486129,0.7357969,0.001000871,0.6526173,0.2160142,0.3681988,0.62599,0.6470836,0.477363,0.7502245,0.006499091,0.85703,0.7335105,0.005333573,0.8104203,0.5202484,0.9735279,0.5066416,0.9409947,0.6428046,0.3141351,0.4275586,0.5640832,1.062853,0.8208366,0.9519876,0.2316456,0.4495873,0.05755222,-0.006976618,0.7575669,0.2375068,0.8360058,0.3344965,0.792573,0.8675346,0.4073327,0.7797709,1.149509E-05,0.9999827,0.08653282,0.8712023,0.445899,0.857745,0.7942197,0.1928862,0.6880925
12,0.3346251,0.2136354,0.6249865,0.7104632,0.7486129,0.7357969,0.001000871,0.6526173,0.2160142,0.3681988,0.62599,0.6470836,0.477363,0.7502245,0.006499091,0.85703,0.7335105,0.005333573,0.8104203,0.5202484,0.9735279,0.5066416,0.9409947,0.6428046,0.3141351,0.4275586,0.5640832,1.062853,0.8208366,0.9519876,0.2316456,0.4495873,0.05755222,-0.006976618,0.7575669,0.2375068,0.8360058,0.3344965,0.792573,0.8675346,0.4073327,0.7797709,1.149509E-05,0.9999827,0.08653282,0.8712023,0.445899,0.857745,0.7942197,0.1928862,0.6880925
13,0.3346251,0.2136354,0.6249865,0.7104632,0.7486129,0.7357969,0.001000871,0.6526173,0.2160142,0.3681988,0.62599,0.6470836,0.477363,0.7502245,0.006499091,0.85703,0.7335105,0.005333573,0.8104203,0.5202484,0.9735279,0.5066416,0.9409947,0.6428046,0.3141351,0.4275586,0.5640832,1.062853,0.8208366,0.9519876,0.2316456,0.4495873,0.05755222,-0.006976618,0.7575669,0.2375068,0.8360058,0.3344965,0.792573,0.8675346,0.4073327,0.7797709,1.149509E-05,0.9999827,0.08653282,0.8712023,0.445899,0.857745,0.7942197,0.1928862,0.6880925
14,0.3346251,0.2136354,0.6249865,0.7104632,0.7486129,0.7357969,0.001000871,0.6526173,0.2160142,0.3681988,0.62599,0.6470836,0.477363,0.7502245,0.006499091,0.85703,0.7335105,0.005333573,0.8104203,0.5202484,0.9735279,0.5066416,0.9409947,0.6428046,0.3141351,0.4275586,0.5640832,1.062853,0.8208366,0.9519876,0.2316456,0.4495873,0.05755222,-0.006976618,0.7575669,0.2375068,0.8360058,0.3344965,0.792573,0.8675346,0.4073327,0.7797709,1.149509E-05,0.9999827,0.08653282,0.8712023,0.445899,0.857745,0.7942197,0.1928862,0.6880925
15,0.3346251,0.2136354,0.6249865,0.7104632,0.7486129,0.7357969,0.001000871,0.6526173,0.2160142,0.3681988,0.62599,0.6470836,0.477363,0.7502245,0.006499091,0.85703,0.7335105,0.005333573,0.8104203,0.5202484,0.9735279,0.5066416,0.9409947,0.6428046,0.3141351,0.4275586,0.5640832,1.062853,0.8208366,0.9519876,0.2316456,0.4495873,0.05755222,-0.006976618,0.7575669,0.2375068,0.8360058,0.3344965,0.792573,0.8675346,0.4073327,0.7797709,1.149509E-05,0.9999827,0.08653282,0.8712023,0.445899,0.857745,0.7942197,0.1928862,0.6880925
16,0.3344742,0.2136354,0.5929461,0.7104632,0.7252137,0.7357969,0.0009944612,0.6526173,0.2160142,0.3429632,0.62599,0.6470836,0.477363,0.7502245,0.006499091,0.8145081,0.7335105,0.005333573,0.8096417,0.5202484,0.9097145,0.4923947,0.9409947,0.6525054,0.3141351,0.4681449,0.5640832,0.983717,0.8208366,0.9519876,0.2316456,0.4495873,0.06053027,-0.006977162,0.7575669,0.2379471,0.8360058,0.3344965,0.792573,0.8675346,0.3818201,0.7797709,1.149509E-05,0.9999827,0.08680018,0.8712023,0.4493809,0.857745,0.7942197,0.1928862,0.6880925
17,0.3344742,0.2136354,0.5929461,0.7104632,0.7252137,0.7357969,0.0009944612,0.6526173,0.2160142,0.3429632,0.62599,0.6470836,0.477363,0.7502245,0.006499091,0.8145081,0.7335105,0.005333573,0.8096417,0.5202484,0.9097145,0.4923947,0.9409947,0.6525054,0.3141351,0.4681449,0.5640832,0.983717,0.8208366,0.9519876,0.2316456,0.4495873,0.06053027,-0.006977162,0.7575669,0.2379471,0.8360058,0.3344965,0.792573,0.8675346,0.3818201,0.7797709,1.149509E-05,0.9999827,0.08680018,0.8712023,0.4493809,0.857745,0.7942197,0.1928862,0.6880925
18,0.3344742,0.2136354,0.5929461,0.7104632,0.7252137,0.7357969,0.0009944612,0.6526173,0.2160142,0.3429632,0.62599,0.6470836,0.477363,0.7502245,0.006499091,0.8145081,0.7335105,0.005333573,0.8096417,0.5202484,0.9097145,0.4923947,0.9409947,0.6525054,0.3141351,0.4681449,0.5640832,0.983717,0.8208366,0.9519876,0.2316456,0.4495873,0.06053027,-0.006977162,0.7575669,0.2379471,0.8360058,0.3344965,0.792573,0.8675346,0.3818201,0.7797709,1.149509E-05,0.9999827,0.08680018,0.8712023,0.4493809,0.857745,0.7942197,0.1928862,0.6880925
19,0.3344742,0.2136354,0.5929461,0.7104632,0.7252137,0.7357969,0.0009944612,0.6526173,0.2160142,0.3429632,0.62599,0.6470836,0.477363,0.7502245,0.006499091,0.8145081,0.7335105,0.005333573,0.8096417,0.5202484,0.9097145,0.4923947,0.9409947,0.6525054,0.3141351,0.4681449,0.5640832,0.983717,0.8208366,0.9519876,0.2316456,0.4495873,0.06053027,-0.006977162,0.7575669,0.2379471,0.8360058,0.3344965,0.792573,0.8675346,0.3818201,0.7797709,1.149509E-05,0.9999827,0.08680018,0.8712023,0.4493809,0.857745,0.7942197,0.1928862,0.6880925
