position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,rotation.w,Spine Front-Back,Spine Left-Right,Spine Twist Left-Right,Chest Front-Back,Chest Left-Right,Chest Twist Left-Right,UpperChest Front-Back,UpperChest Left-Right,UpperChest Twist Left-Right,Neck Nod Down-Up,Neck Tilt Left-Right,Neck Turn Left-Right,Head Nod Down-Up,Head Tilt Left-Right,Head Turn Left-Right,Left Eye Down-Up,Left Eye In-Out,Right Eye Down-Up,Right Eye In-Out,Jaw Close,Jaw Left-Right,Left Upper Leg Front-Back,Left Upper Leg In-Out,Left Upper Leg Twist In-Out,Left Lower Leg Stretch,Left Lower Leg Twist In-Out,Left Foot Up-Down,Left Foot Twist In-Out,Left Toes Up-Down,Right Upper Leg Front-Back,Right Upper Leg In-Out,Right Upper Leg Twist In-Out,Right Lower Leg Stretch,Right Lower Leg Twist In-Out,Right Foot Up-Down,Right Foot Twist In-Out,Right Toes Up-Down,Left Shoulder Down-Up,Left Shoulder Front-Back,Left Arm Down-Up,Left Arm Front-Back,Left Arm Twist In-Out,Left Forearm Stretch,Left Forearm Twist In-Out,Left Hand Down-Up,Left Hand In-Out,Right Shoulder Down-Up,Right Shoulder Front-Back,Right Arm Down-Up,Right Arm Front-Back,Right Arm Twist In-Out,Right Forearm Stretch,Right Forearm Twist In-Out,Right Hand Down-Up,Right Hand In-Out,Left Thumb 1 Stretched,Left Thumb Spread,Left Thumb 2 Stretched,Left Thumb 3 Stretched,Left Index 1 Stretched,Left Index Spread,Left Index 2 Stretched,Left Index 3 Stretched,Left Middle 1 Stretched,Left Middle Spread,Left Middle 2 Stretched,Left Middle 3 Stretched,Left Ring 1 Stretched,Left Ring Spread,Left Ring 2 Stretched,Left Ring 3 Stretched,Left Little 1 Stretched,Left Little Spread,Left Little 2 Stretched,Left Little 3 Stretched,Right Thumb 1 Stretched,Right Thumb Spread,Right Thumb 2 Stretched,Right Thumb 3 Stretched,Right Index 1 Stretched,Right Index Spread,Right Index 2 Stretched,Right Index 3 Stretched,Right Middle 1 Stretched,Right Middle Spread,Right Middle 2 Stretched,Right Middle 3 Stretched,Right Ring 1 Stretched,Right Ring Spread,Right Ring 2 Stretched,Right Ring 3 Stretched,Right Little 1 Stretched,Right Little Spread,Right Little 2 Stretched,Right Little 3 Stretched
0.002398388,1.000028,0.001554946,-5.960464E-08,0,-5.960464E-08,1,2.561321E-07,6.043053E-15,7.63333E-15,2.134433E-08,-9.938607E-12,1.416779E-09,0,0,0,3.925462E-08,-1.827935E-17,1.334021E-09,-2.187795E-07,-1.883268E-07,8.111008E-09,0,0,0,0,0,0,0.5958037,-0.01883031,0.2101188,1.002601,-0.1374521,-0.002825511,-0.02047901,0,0.5957682,-0.01892472,0.2106004,1.00259,-0.1377656,-0.002856033,-0.02064429,0,5.691824E-08,-5.088886E-15,0.3982913,0.3004909,-0.03061664,0.9997979,0.03679503,-0.002530814,0.0003062174,-2.276729E-07,-6.785182E-15,0.3982915,0.300491,-0.03061331,0.9997984,0.03679267,-0.002530372,0.0003057948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002398388,1.000028,0.001554946,-5.960464E-08,0,-5.960464E-08,1,2.561321E-07,6.043053E-15,7.63333E-15,2.134433E-08,-9.938607E-12,1.416779E-09,0,0,0,3.925462E-08,-1.827935E-17,1.334021E-09,-2.187795E-07,-1.883268E-07,8.111008E-09,0,0,0,0,0,0,0.5958037,-0.01883031,0.2101188,1.002601,-0.1374521,-0.002825511,-0.02047901,0,0.5957682,-0.01892472,0.2106004,1.00259,-0.1377656,-0.002856033,-0.02064429,0,5.691824E-08,-5.088886E-15,0.3982913,0.3004909,-0.03061664,0.9997979,0.03679503,-0.002530814,0.0003062174,-2.276729E-07,-6.785182E-15,0.3982915,0.300491,-0.03061331,0.9997984,0.03679267,-0.002530372,0.0003057948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.03739078,0.9754902,0.0366432,0.02015784,0.06025749,0.006270795,-0.9979596,0.09239808,0.0006348792,0.03581098,-0.0843667,0.02990985,0.0070644,0,0,0,-0.06640609,-0.07042299,0.07658216,-0.06605536,-0.07068838,0.07587785,0,0,0,0,0,0,0.7151933,0.06620394,-0.002556986,0.9493937,0.04839428,-0.1592562,-0.2181005,0,0.620863,0.1623769,0.1328738,0.9586197,-0.1016836,-0.06279482,-0.3347982,0,-0.1638391,-2.186163E-05,-0.5720747,0.3957955,0.05482883,0.7454974,0.1037253,0.1866912,-0.1398489,3.016666E-06,-1.457107E-05,-0.5701621,0.3941534,0.2065724,0.7974634,-0.01041108,0.01985019,0.0959315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.03739084,0.9754853,0.0366572,0.02014902,0.06025843,0.006270707,-0.9979597,0.09242273,0.0006354155,0.03581044,-0.0844896,0.02991012,0.007063063,0,0,0,-0.06635143,-0.07042782,0.07657734,-0.06573988,-0.07070523,0.07586897,0,0,0,0,0,0,0.7150178,0.06621026,-0.002520914,0.949183,0.04835816,-0.1594205,-0.2181181,0,0.6207477,0.1623955,0.132851,0.9584786,-0.1016843,-0.06290299,-0.3347712,0,-0.1638391,-1.993573E-05,-0.572064,0.3957202,0.05483587,0.7455284,0.1037112,0.1866956,-0.1403629,3.016666E-06,-1.457107E-05,-0.5701642,0.3941576,0.2072319,0.7966919,-0.01104327,0.01984204,0.09591617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.03739084,0.9754853,0.0366572,0.02014902,0.06025843,0.006270707,-0.9979597,0.09242273,0.0006354155,0.03581044,-0.0844896,0.02991012,0.007063063,0,0,0,-0.06635143,-0.07042782,0.07657734,-0.06573988,-0.07070523,0.07586897,0,0,0,0,0,0,0.7150178,0.06621026,-0.002520914,0.949183,0.04835816,-0.1594205,-0.2181181,0,0.6207477,0.1623955,0.132851,0.9584786,-0.1016843,-0.06290299,-0.3347712,0,-0.1638391,-1.993573E-05,-0.572064,0.3957202,0.05483587,0.7455284,0.1037112,0.1866956,-0.1403629,3.016666E-06,-1.457107E-05,-0.5701642,0.3941576,0.2072319,0.7966919,-0.01104327,0.01984204,0.09591617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.03739084,0.9754853,0.0366572,0.02014902,0.06025843,0.006270707,-0.9979597,0.09242273,0.0006354155,0.03581044,-0.0844896,0.02991012,0.007063063,0,0,0,-0.06635143,-0.07042782,0.07657734,-0.06573988,-0.07070523,0.07586897,0,0,0,0,0,0,0.7150178,0.06621026,-0.002520914,0.949183,0.04835816,-0.1594205,-0.2181181,0,0.6207477,0.1623955,0.132851,0.9584786,-0.1016843,-0.06290299,-0.3347712,0,-0.1638391,-1.993573E-05,-0.572064,0.3957202,0.05483587,0.7455284,0.1037112,0.1866956,-0.1403629,3.016666E-06,-1.457107E-05,-0.5701642,0.3941576,0.2072319,0.7966919,-0.01104327,0.01984204,0.09591617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.03739084,0.9754853,0.0366572,0.02014902,0.06025843,0.006270707,-0.9979597,0.09242273,0.0006354155,0.03581044,-0.0844896,0.02991012,0.007063063,0,0,0,-0.06635143,-0.07042782,0.07657734,-0.06573988,-0.07070523,0.07586897,0,0,0,0,0,0,0.7150178,0.06621026,-0.002520914,0.949183,0.04835816,-0.1594205,-0.2181181,0,0.6207477,0.1623955,0.132851,0.9584786,-0.1016843,-0.06290299,-0.3347712,0,-0.1638391,-1.993573E-05,-0.572064,0.3957202,0.05483587,0.7455284,0.1037112,0.1866956,-0.1403629,3.016666E-06,-1.457107E-05,-0.5701642,0.3941576,0.2072319,0.7966919,-0.01104327,0.01984204,0.09591617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.03739084,0.9754853,0.0366572,0.02014902,0.06025843,0.006270707,-0.9979597,0.09242273,0.0006354155,0.03581044,-0.0844896,0.02991012,0.007063063,0,0,0,-0.06635143,-0.07042782,0.07657734,-0.06573988,-0.07070523,0.07586897,0,0,0,0,0,0,0.7150178,0.06621026,-0.002520914,0.949183,0.04835816,-0.1594205,-0.2181181,0,0.6207477,0.1623955,0.132851,0.9584786,-0.1016843,-0.06290299,-0.3347712,0,-0.1638391,-1.993573E-05,-0.572064,0.3957202,0.05483587,0.7455284,0.1037112,0.1866956,-0.1403629,3.016666E-06,-1.457107E-05,-0.5701642,0.3941576,0.2072319,0.7966919,-0.01104327,0.01984204,0.09591617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.03739084,0.9754853,0.0366572,0.02014902,0.06025843,0.006270707,-0.9979597,0.09242273,0.0006354155,0.03581044,-0.0844896,0.02991012,0.007063063,0,0,0,-0.06635143,-0.07042782,0.07657734,-0.06573988,-0.07070523,0.07586897,0,0,0,0,0,0,0.7150178,0.06621026,-0.002520914,0.949183,0.04835816,-0.1594205,-0.2181181,0,0.6207477,0.1623955,0.132851,0.9584786,-0.1016843,-0.06290299,-0.3347712,0,-0.1638391,-1.993573E-05,-0.572064,0.3957202,0.05483587,0.7455284,0.1037112,0.1866956,-0.1403629,3.016666E-06,-1.457107E-05,-0.5701642,0.3941576,0.2072319,0.7966919,-0.01104327,0.01984204,0.09591617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.03739084,0.9754853,0.0366572,0.02014902,0.06025843,0.006270707,-0.9979597,0.09242273,0.0006354155,0.03581044,-0.0844896,0.02991012,0.007063063,0,0,0,-0.06635143,-0.07042782,0.07657734,-0.06573988,-0.07070523,0.07586897,0,0,0,0,0,0,0.7150178,0.06621026,-0.002520914,0.949183,0.04835816,-0.1594205,-0.2181181,0,0.6207477,0.1623955,0.132851,0.9584786,-0.1016843,-0.06290299,-0.3347712,0,-0.1638391,-1.993573E-05,-0.572064,0.3957202,0.05483587,0.7455284,0.1037112,0.1866956,-0.1403629,3.016666E-06,-1.457107E-05,-0.5701642,0.3941576,0.2072319,0.7966919,-0.01104327,0.01984204,0.09591617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
