frames,position.x_comp,position.y_comp,position.z_comp,rotation.x_comp,rotation.y_comp,rotation.z_comp,rotation.w_comp,Spine Front-Back_comp,Spine Left-Right_comp,Spine Twist Left-Right_comp,Chest Front-Back_comp,Chest Left-Right_comp,Chest Twist Left-Right_comp,Neck Nod Down-Up_comp,Neck Tilt Left-Right_comp,Neck Turn Left-Right_comp,Head Nod Down-Up_comp,Head Tilt Left-Right_comp,Head Turn Left-Right_comp,Left Upper Leg Front-Back_comp,Left Upper Leg In-Out_comp,Left Upper Leg Twist In-Out_comp,Left Lower Leg Stretch_comp,Left Lower Leg Twist In-Out_comp,Left Foot Up-Down_comp,Left Foot Twist In-Out_comp,Right Upper Leg Front-Back_comp,Right Upper Leg In-Out_comp,Right Upper Leg Twist In-Out_comp,Right Lower Leg Stretch_comp,Right Lower Leg Twist In-Out_comp,Right Foot Up-Down_comp,Right Foot Twist In-Out_comp,Left Shoulder Down-Up_comp,Left Shoulder Front-Back_comp,Left Arm Down-Up_comp,Left Arm Front-Back_comp,Left Arm Twist In-Out_comp,Left Forearm Stretch_comp,Left Forearm Twist In-Out_comp,Left Hand Down-Up_comp,Left Hand In-Out_comp,Right Shoulder Down-Up_comp,Right Shoulder Front-Back_comp,Right Arm Down-Up_comp,Right Arm Front-Back_comp,Right Arm Twist In-Out_comp,Right Forearm Stretch_comp,Right Forearm Twist In-Out_comp,Right Hand Down-Up_comp,Right Hand In-Out_comp
0,0.9209253,0.2136354,0.4648357,0.7104632,0.6316184,0.7357969,1,0.6526173,0.2160142,0.1915477,0.612336,0.6470836,0.477363,0.7502245,0.1136876,0.5168437,0.7335105,0.1770357,0.4008346,0.5202484,0.5268533,0.9466639,0.9409947,0.205046,0.3141351,0.7116481,0.5640832,0.5089315,0.808994,0.9519876,0.2316456,0.4495873,0.54484,0.2229539,0.7575669,0.8471875,0.8360058,0.3385763,0.9107978,0.8675346,0.2287467,0.7797709,1.149509E-05,0.9999827,0.6797892,0.8712023,0.2842462,0.8421202,0.7996033,0.1928862,0.6748458
1,0.9209253,0.2136354,0.4648357,0.7104632,0.6316184,0.7357969,1,0.6526173,0.2160142,0.1915477,0.612336,0.6470836,0.477363,0.7502245,0.1136876,0.5168437,0.7335105,0.1770357,0.4008346,0.5202484,0.5268533,0.9466639,0.9409947,0.205046,0.3141351,0.7116481,0.5640832,0.5089315,0.808994,0.9519876,0.2316456,0.4495873,0.54484,0.2229539,0.7575669,0.8471875,0.8360058,0.3385763,0.9107978,0.8675346,0.2287467,0.7797709,1.149509E-05,0.9999827,0.6797892,0.8712023,0.2842462,0.8421202,0.7996033,0.1928862,0.6748458
2,0.3025172,0.2136354,0.7210565,0.7104632,0.8188089,0.7357969,0.001000886,0.6526173,0.2160142,0.393436,0.612336,0.6470836,0.477363,0.7502245,-0.1006895,0.8570408,0.7335105,-0.05188227,0.8373346,0.5202484,1.037322,0.4696706,0.9409947,0.6772051,0.3141351,0.3869868,0.5640832,1.141957,0.808994,0.9519876,0.2316456,0.4495873,0.02663387,-0.02230561,0.7575669,0.2081302,0.8360058,0.3385763,0.6939327,0.8675346,0.432843,0.7797709,1.149509E-05,0.9999827,0.07150727,0.8712023,0.4851317,0.8421202,0.7996033,0.1928862,0.6748458
3,0.3025172,0.2136354,0.7210565,0.7104632,0.8188089,0.7357969,0.001000886,0.6526173,0.2160142,0.393436,0.612336,0.6470836,0.477363,0.7502245,-0.1006895,0.8570408,0.7335105,-0.05188227,0.8373346,0.5202484,1.037322,0.4696706,0.9409947,0.6772051,0.3141351,0.3869868,0.5640832,1.141957,0.808994,0.9519876,0.2316456,0.4495873,0.02663387,-0.02230561,0.7575669,0.2081302,0.8360058,0.3385763,0.6939327,0.8675346,0.432843,0.7797709,1.149509E-05,0.9999827,0.07150727,0.8712023,0.4851317,0.8421202,0.7996033,0.1928862,0.6748458
4,0.3025168,0.2136354,0.5929461,0.7104632,0.7252137,0.7357969,0.001000871,0.6526173,0.2160142,0.3934345,0.612336,0.6470836,0.477363,0.7502245,0.006499091,0.85703,0.7335105,-0.05190955,0.8373091,0.5202484,1.037341,0.4697111,0.9409947,0.6771592,0.3141351,0.3869723,0.5640832,1.14199,0.808994,0.9519876,0.2316456,0.4495873,0.02665615,-0.02230561,0.7575669,0.2081337,0.8360058,0.3385763,0.8023652,0.8675346,0.4328454,0.7797709,1.149509E-05,0.9999827,0.07150661,0.8712023,0.4854105,0.8421202,0.7996033,0.1928862,0.6748458
5,0.3025168,0.2136354,0.5929461,0.7104632,0.7252137,0.7357969,0.001000871,0.6526173,0.2160142,0.3934345,0.612336,0.6470836,0.477363,0.7502245,0.006499091,0.85703,0.7335105,-0.05190955,0.8373091,0.5202484,1.037341,0.4697111,0.9409947,0.6771592,0.3141351,0.3869723,0.5640832,1.14199,0.808994,0.9519876,0.2316456,0.4495873,0.02665615,-0.02230561,0.7575669,0.2081337,0.8360058,0.3385763,0.8023652,0.8675346,0.4328454,0.7797709,1.149509E-05,0.9999827,0.07150661,0.8712023,0.4854105,0.8421202,0.7996033,0.1928862,0.6748458
6,0.3025168,0.2136354,0.5929461,0.7104632,0.7252137,0.7357969,0.001000871,0.6526173,0.2160142,0.3934345,0.612336,0.6470836,0.477363,0.7502245,0.006499091,0.85703,0.7335105,-0.05190955,0.8373091,0.5202484,1.037341,0.4697111,0.9409947,0.6771592,0.3141351,0.3869723,0.5640832,1.14199,0.808994,0.9519876,0.2316456,0.4495873,0.02665615,-0.02230561,0.7575669,0.2081337,0.8360058,0.3385763,0.8023652,0.8675346,0.4328454,0.7797709,1.149509E-05,0.9999827,0.07150661,0.8712023,0.4854105,0.8421202,0.7996033,0.1928862,0.6748458
7,0.3025168,0.2136354,0.5929461,0.7104632,0.7252137,0.7357969,0.001000871,0.6526173,0.2160142,0.3934345,0.612336,0.6470836,0.477363,0.7502245,0.006499091,0.85703,0.7335105,-0.05190955,0.8373091,0.5202484,1.037341,0.4697111,0.9409947,0.6771592,0.3141351,0.3869723,0.5640832,1.14199,0.808994,0.9519876,0.2316456,0.4495873,0.02665615,-0.02230561,0.7575669,0.2081337,0.8360058,0.3385763,0.8023652,0.8675346,0.4328454,0.7797709,1.149509E-05,0.9999827,0.07150661,0.8712023,0.4854105,0.8421202,0.7996033,0.1928862,0.6748458
8,0.3025168,0.2136354,0.5929461,0.7104632,0.7252137,0.7357969,0.001000871,0.6526173,0.2160142,0.3429632,0.612336,0.6470836,0.477363,0.7502245,0.006499091,0.85703,0.7335105,0.005333573,0.8373091,0.5202484,0.9097145,0.4697111,0.9409947,0.6771592,0.3141351,0.4681449,0.5640832,0.983717,0.808994,0.9519876,0.2316456,0.4495873,0.02665615,-0.02230561,0.7575669,0.2081337,0.8360058,0.3385763,0.8023652,0.8675346,0.3818201,0.7797709,1.149509E-05,0.9999827,0.07150661,0.8712023,0.4350497,0.8421202,0.7996033,0.1928862,0.6748458
9,0.3025168,0.2136354,0.5929461,0.7104632,0.7252137,0.7357969,0.001000871,0.6526173,0.2160142,0.3429632,0.612336,0.6470836,0.477363,0.7502245,0.006499091,0.85703,0.7335105,0.005333573,0.8373091,0.5202484,0.9097145,0.4697111,0.9409947,0.6771592,0.3141351,0.4681449,0.5640832,0.983717,0.808994,0.9519876,0.2316456,0.4495873,0.02665615,-0.02230561,0.7575669,0.2081337,0.8360058,0.3385763,0.8023652,0.8675346,0.3818201,0.7797709,1.149509E-05,0.9999827,0.07150661,0.8712023,0.4350497,0.8421202,0.7996033,0.1928862,0.6748458
