frames,position.x_diff2,position.y_diff2,position.z_diff2,rotation.x_diff2,rotation.y_diff2,rotation.z_diff2,rotation.w_diff2,Spine Front-Back_diff2,Spine Left-Right_diff2,Spine Twist Left-Right_diff2,Chest Front-Back_diff2,Chest Left-Right_diff2,Chest Twist Left-Right_diff2,Neck Nod Down-Up_diff2,Neck Tilt Left-Right_diff2,Neck Turn Left-Right_diff2,Head Nod Down-Up_diff2,Head Tilt Left-Right_diff2,Head Turn Left-Right_diff2,Left Upper Leg Front-Back_diff2,Left Upper Leg In-Out_diff2,Left Upper Leg Twist In-Out_diff2,Left Lower Leg Stretch_diff2,Left Lower Leg Twist In-Out_diff2,Left Foot Up-Down_diff2,Left Foot Twist In-Out_diff2,Right Upper Leg Front-Back_diff2,Right Upper Leg In-Out_diff2,Right Upper Leg Twist In-Out_diff2,Right Lower Leg Stretch_diff2,Right Lower Leg Twist In-Out_diff2,Right Foot Up-Down_diff2,Right Foot Twist In-Out_diff2,Left Shoulder Down-Up_diff2,Left Shoulder Front-Back_diff2,Left Arm Down-Up_diff2,Left Arm Front-Back_diff2,Left Arm Twist In-Out_diff2,Left Forearm Stretch_diff2,Left Forearm Twist In-Out_diff2,Left Hand Down-Up_diff2,Left Hand In-Out_diff2,Right Shoulder Down-Up_diff2,Right Shoulder Front-Back_diff2,Right Arm Down-Up_diff2,Right Arm Front-Back_diff2,Right Arm Twist In-Out_diff2,Right Forearm Stretch_diff2,Right Forearm Twist In-Out_diff2,Right Hand Down-Up_diff2,Right Hand In-Out_diff2
698,0,0.1122884,-0.06555121,0,0,0,0,0,0,0,0.1665641,0,0,-0.2862628,0,0,-0.225815,0,0,-0.1061985,0,0,-0.2002164,0,0.1285601,0,-0.02197735,-0.3187794,-0.03368203,-0.348198,0.1344678,0.07731833,0,0.1949735,0,0.3283664,-0.3498847,0.1550142,-0.136643,0,0,0,0,0,0.3229039,-0.3897995,0.2222208,0,0,0,0
699,0,-0.1122884,0.06555121,0,0,0,0,0,0,0,-0.1665641,0,0,0.2862628,0,0,0.225815,0,0,0.1061985,0,0,0.2002164,0,-0.1285601,0,0.02197735,0.3187794,0.03368203,0.348198,-0.1344678,-0.07731833,0,-0.05555365,0,-0.3283664,0.3498847,-0.1550142,0.136643,0,0,0,0,0,-0.3229039,0.3897995,-0.2222208,0,0,0,0
700,0,0.08196256,-0.3358937,0,0,0,0,0,0,0,0,0,0,-0.231125,0,0,-0.2541068,0,0,0.2123971,0,0,0,0,0,0,0.219285,0,0,0,0,-0.1546367,0,0.005788092,0,0.2245887,0,0.1186455,0,0,0,0,0,0,0.2563116,0,0,0,0,0,0
701,0,-0.08196256,0.3358937,0,0,0,0,0,0,0,0,0,0,0.231125,0,0,0.2541068,0,0,-0.2123971,0,0,0,0,0,0,-0.219285,0,0,0,0,0.1546367,0,-0.145208,0,-0.2245887,0,-0.1186455,0,0,0,0,0,0,-0.2563116,0,0,0,0,0,0
702,-0.01394992,0.09033046,-0.2632766,0.08392857,-0.007066026,0.02757354,0.002282175,0.116612,0.0884913,0.01723184,-0.01405799,0,0.01699832,-0.1017583,0.01509177,0.03188726,-0.0496645,0.005010549,0.02233722,0.2488546,-0.192635,0.0145998,-0.05179761,-0.07649003,0.06196903,0.030395,0.287498,-0.1557799,0.04484784,-0.002493556,0.07701891,-0.07989939,-0.1974554,0.07890072,0,0.1172325,-0.03809218,0.06721924,-0.05922598,0.05406731,-0.02318505,0.03721123,0,0,0.1511359,-0.1118369,0.1228044,0.002319242,0.0051801,-0.007516004,0.08299251
703,0.01394992,-0.09033046,0.2632766,-0.08392857,0.007066026,-0.02757354,-0.002282175,-0.116612,-0.0884913,-0.01723184,0.01405799,0,-0.01699832,0.1017583,-0.01509177,-0.03188726,0.0496645,-0.005010549,-0.02233722,-0.2488546,0.192635,-0.0145998,0.05179761,0.07649003,-0.06196903,-0.030395,-0.287498,0.1557799,-0.04484784,0.002493556,-0.07701891,0.07989939,0.1974554,-0.07890072,0,-0.1172325,0.03809218,-0.06721924,0.05922598,-0.05406731,0.02318505,-0.03721123,0,0,-0.1511359,0.1118369,-0.1228044,-0.002319242,-0.0051801,0.007516004,-0.08299251
704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1493617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1493617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
