frames,position.x_comp,position.y_comp,position.z_comp,rotation.x_comp,rotation.y_comp,rotation.z_comp,rotation.w_comp,Spine Front-Back_comp,Spine Left-Right_comp,Spine Twist Left-Right_comp,Chest Front-Back_comp,Chest Left-Right_comp,Chest Twist Left-Right_comp,Neck Nod Down-Up_comp,Neck Tilt Left-Right_comp,Neck Turn Left-Right_comp,Head Nod Down-Up_comp,Head Tilt Left-Right_comp,Head Turn Left-Right_comp,Left Upper Leg Front-Back_comp,Left Upper Leg In-Out_comp,Left Upper Leg Twist In-Out_comp,Left Lower Leg Stretch_comp,Left Lower Leg Twist In-Out_comp,Left Foot Up-Down_comp,Left Foot Twist In-Out_comp,Right Upper Leg Front-Back_comp,Right Upper Leg In-Out_comp,Right Upper Leg Twist In-Out_comp,Right Lower Leg Stretch_comp,Right Lower Leg Twist In-Out_comp,Right Foot Up-Down_comp,Right Foot Twist In-Out_comp,Left Shoulder Down-Up_comp,Left Shoulder Front-Back_comp,Left Arm Down-Up_comp,Left Arm Front-Back_comp,Left Arm Twist In-Out_comp,Left Forearm Stretch_comp,Left Forearm Twist In-Out_comp,Left Hand Down-Up_comp,Left Hand In-Out_comp,Right Shoulder Down-Up_comp,Right Shoulder Front-Back_comp,Right Arm Down-Up_comp,Right Arm Front-Back_comp,Right Arm Twist In-Out_comp,Right Forearm Stretch_comp,Right Forearm Twist In-Out_comp,Right Hand Down-Up_comp,Right Hand In-Out_comp
0,0.9821916,0.2326022,0.3270393,0.6906343,0.5405585,0.6635444,1,0.5159473,0.2160142,0.1443757,0.6638206,0.5847524,0.4598713,0.805041,0.2213899,0.4839828,0.8047071,0.2326148,0.3547587,0.4938833,0.4184831,1,0.9544842,0.1569629,0.3934412,0.794535,0.5640832,0.3515374,0.9796933,0.962457,0.1693604,0.4558501,0.5951775,0.2515001,0.7575669,0.8765606,0.7565907,0.2713005,0.9947458,0.8086272,0.1806926,0.9120644,1.149509E-05,0.9999827,0.6948155,0.7967433,0.2422406,1.000107,0.8349141,0.1928862,0.5955422
1,0.9821916,0.2326022,0.3270393,0.6906343,0.5405585,0.6635444,1,0.5159473,0.2160142,0.1443757,0.6638206,0.5847524,0.4598713,0.805041,0.2213899,0.4839828,0.8047071,0.2326148,0.3547587,0.4938833,0.4184831,1,0.9544842,0.1569629,0.3934412,0.794535,0.5640832,0.3515374,0.9796933,0.962457,0.1693604,0.4558501,0.5951775,0.2515001,0.7575669,0.8765606,0.7565907,0.2713005,0.9947458,0.8086272,0.1806926,0.9120644,1.149509E-05,0.9999827,0.6948155,0.7967433,0.2422406,1.000107,0.8349141,0.1928862,0.5955422
2,0.3637835,0.2109277,0.5832602,0.7344658,0.727749,0.7461193,0.001000886,0.6452196,0.2160142,0.3462641,0.6053339,0.65118,0.4895536,0.7242898,0.007012752,0.8241798,0.7177328,0.003696889,0.7912586,0.5466136,0.928952,0.5230068,0.9544842,0.629122,0.3206356,0.4698737,0.5640832,0.9845632,0.8334859,0.962457,0.2442466,0.4558501,0.07697135,0.006240643,0.7575669,0.2375032,0.8551942,0.3334534,0.7778806,0.875956,0.3847888,0.7967777,1.149509E-05,0.9999827,0.08653348,0.8818377,0.443126,0.8606639,0.7873194,0.1928862,0.7013213
3,0.3637835,0.2109277,0.5832602,0.7344658,0.727749,0.7461193,0.001000886,0.6452196,0.2160142,0.3462641,0.6053339,0.65118,0.4895536,0.7242898,0.007012752,0.8241798,0.7177328,0.003696889,0.7912586,0.5466136,0.928952,0.5230068,0.9544842,0.629122,0.3206356,0.4698737,0.5640832,0.9845632,0.8334859,0.962457,0.2442466,0.4558501,0.07697135,0.006240643,0.7575669,0.2375032,0.8551942,0.3334534,0.7778806,0.875956,0.3847888,0.7967777,1.149509E-05,0.9999827,0.08653348,0.8818377,0.443126,0.8606639,0.7873194,0.1928862,0.7013213
4,0.363783,0.2109255,0.5833113,0.71255,0.7277504,0.7461187,0.001000871,0.6452368,0.2160142,0.3462625,0.6345773,0.6511803,0.4747124,0.724323,0.007005404,0.8241691,0.717941,0.003669615,0.7912331,0.5202484,0.9289711,0.5230472,0.9544842,0.6290761,0.3205974,0.4698593,0.5640832,0.9845957,0.8334644,0.962457,0.2442458,0.4558501,0.07699362,0.006240643,0.7575669,0.2375068,0.8551552,0.3334559,0.7778938,0.8759489,0.3847912,0.7965667,1.149509E-05,0.9999827,0.08653282,0.8818396,0.4434049,0.8603985,0.7870028,0.1928862,0.7013128
5,0.363783,0.2109255,0.5833113,0.71255,0.7277504,0.7461187,0.001000871,0.6452368,0.2160142,0.3462625,0.6345773,0.6511803,0.4747124,0.724323,0.007005404,0.8241691,0.717941,0.003669615,0.7912331,0.5202484,0.9289711,0.5230472,0.9544842,0.6290761,0.3205974,0.4698593,0.5640832,0.9845957,0.8334644,0.962457,0.2442458,0.4558501,0.07699362,0.006240643,0.7575669,0.2375068,0.8551552,0.3334559,0.7778938,0.8759489,0.3847912,0.7965667,1.149509E-05,0.9999827,0.08653282,0.8818396,0.4434049,0.8603985,0.7870028,0.1928862,0.7013128
6,0.363783,0.2109255,0.5833113,0.71255,0.7277504,0.7461187,0.001000871,0.6452368,0.2160142,0.3462625,0.6345773,0.6511803,0.4747124,0.724323,0.007005404,0.8241691,0.717941,0.003669615,0.7912331,0.5202484,0.9289711,0.5230472,0.9544842,0.6290761,0.3205974,0.4698593,0.5640832,0.9845957,0.8334644,0.962457,0.2442458,0.4558501,0.07699362,0.006240643,0.7575669,0.2375068,0.8551552,0.3334559,0.7778938,0.8759489,0.3847912,0.7965667,1.149509E-05,0.9999827,0.08653282,0.8818396,0.4434049,0.8603985,0.7870028,0.1928862,0.7013128
7,0.363783,0.2109255,0.5833113,0.71255,0.7277504,0.7461187,0.001000871,0.6452368,0.2160142,0.3462625,0.6345773,0.6511803,0.4747124,0.724323,0.007005404,0.8241691,0.717941,0.003669615,0.7912331,0.5202484,0.9289711,0.5230472,0.9544842,0.6290761,0.3205974,0.4698593,0.5640832,0.9845957,0.8334644,0.962457,0.2442458,0.4558501,0.07699362,0.006240643,0.7575669,0.2375068,0.8551552,0.3334559,0.7778938,0.8759489,0.3847912,0.7965667,1.149509E-05,0.9999827,0.08653282,0.8818396,0.4434049,0.8603985,0.7870028,0.1928862,0.7013128
8,0.363783,0.2109255,0.5833113,0.71255,0.7277504,0.7461187,0.001000871,0.6452368,0.2160142,0.3462625,0.6345773,0.6511803,0.4747124,0.7444942,0.007005404,0.8241691,0.717941,0.003669615,0.7912331,0.5202484,0.9289711,0.5230472,0.9544842,0.6290761,0.3205974,0.4698593,0.5640832,0.9845957,0.8334644,0.962457,0.2255247,0.4558501,0.07699362,0.006240643,0.7575669,0.2375068,0.8551552,0.3334559,0.7778938,0.8759489,0.3847912,0.7965667,1.149509E-05,0.9999827,0.08653282,0.8818396,0.4434049,0.8603985,0.7990598,0.1928862,0.7013128
9,0.363783,0.2109255,0.5833113,0.71255,0.7277504,0.7461187,0.001000871,0.6452368,0.2160142,0.3462625,0.6345773,0.6511803,0.4747124,0.7444942,0.007005404,0.8241691,0.717941,0.003669615,0.7912331,0.5202484,0.9289711,0.5230472,0.9544842,0.6290761,0.3205974,0.4698593,0.5640832,0.9845957,0.8334644,0.962457,0.2255247,0.4558501,0.07699362,0.006240643,0.7575669,0.2375068,0.8551552,0.3334559,0.7778938,0.8759489,0.3847912,0.7965667,1.149509E-05,0.9999827,0.08653282,0.8818396,0.4434049,0.8603985,0.7990598,0.1928862,0.7013128
