frames,position.x_comp,position.y_comp,position.z_comp,rotation.x_comp,rotation.y_comp,rotation.z_comp,rotation.w_comp,Spine Front-Back_comp,Spine Left-Right_comp,Spine Twist Left-Right_comp,Chest Front-Back_comp,Chest Left-Right_comp,Chest Twist Left-Right_comp,Neck Nod Down-Up_comp,Neck Tilt Left-Right_comp,Neck Turn Left-Right_comp,Head Nod Down-Up_comp,Head Tilt Left-Right_comp,Head Turn Left-Right_comp,Left Upper Leg Front-Back_comp,Left Upper Leg In-Out_comp,Left Upper Leg Twist In-Out_comp,Left Lower Leg Stretch_comp,Left Lower Leg Twist In-Out_comp,Left Foot Up-Down_comp,Left Foot Twist In-Out_comp,Right Upper Leg Front-Back_comp,Right Upper Leg In-Out_comp,Right Upper Leg Twist In-Out_comp,Right Lower Leg Stretch_comp,Right Lower Leg Twist In-Out_comp,Right Foot Up-Down_comp,Right Foot Twist In-Out_comp,Left Shoulder Down-Up_comp,Left Shoulder Front-Back_comp,Left Arm Down-Up_comp,Left Arm Front-Back_comp,Left Arm Twist In-Out_comp,Left Forearm Stretch_comp,Left Forearm Twist In-Out_comp,Left Hand Down-Up_comp,Left Hand In-Out_comp,Right Shoulder Down-Up_comp,Right Shoulder Front-Back_comp,Right Arm Down-Up_comp,Right Arm Front-Back_comp,Right Arm Twist In-Out_comp,Right Forearm Stretch_comp,Right Forearm Twist In-Out_comp,Right Hand Down-Up_comp,Right Hand In-Out_comp
0,0.8436242,0.2136354,0.5929461,0.6961703,0.7252137,0.7357969,1,0.6526173,0.2160142,0.3429632,0.6020514,0.6470836,0.477363,0.7502245,0.006499091,0.6444096,0.7335105,0.005333573,0.564503,0.5325049,0.9097145,0.8870498,0.9409947,0.4163298,0.3141351,0.6304755,0.5499372,0.6672041,0.8186734,0.9519876,0.2405252,0.4571263,0.4800698,0.1309816,0.7575669,0.8074671,0.8360058,0.3385763,0.7947829,0.8593379,0.279772,0.7797709,1.149509E-05,0.9999827,0.6612318,0.8712023,0.334607,0.8370284,0.7996033,0.1928862,0.6748458
1,0.8436242,0.2136354,0.5929461,0.6961703,0.7252137,0.7357969,1,0.6526173,0.2160142,0.3429632,0.6020514,0.6470836,0.477363,0.7502245,0.006499091,0.6444096,0.7335105,0.005333573,0.564503,0.5325049,0.9097145,0.8870498,0.9409947,0.4163298,0.3141351,0.6304755,0.5499372,0.6672041,0.8186734,0.9519876,0.2405252,0.4571263,0.4800698,0.1309816,0.7575669,0.8074671,0.8360058,0.3385763,0.7947829,0.8593379,0.279772,0.7797709,1.149509E-05,0.9999827,0.6612318,0.8712023,0.334607,0.8370284,0.7996033,0.1928862,0.6748458
2,0.2252161,0.2136354,0.5929461,0.6961703,0.7252137,0.7357969,0.001000886,0.6526173,0.2160142,0.3429632,0.6020514,0.6470836,0.477363,0.7502245,0.006499091,0.9846066,0.7335105,0.005333573,1.001003,0.5325049,0.9097145,0.4100566,0.9409947,0.8884889,0.3141351,0.3058142,0.5499372,1.30023,0.8186734,0.9519876,0.2405252,0.4571263,-0.03813633,-0.1142779,0.7575669,0.1684097,0.8360058,0.3385763,0.7947829,0.8593379,0.4838683,0.7797709,1.149509E-05,0.9999827,0.05294978,0.8712023,0.5354924,0.8370284,0.7996033,0.1928862,0.6748458
3,0.2252161,0.2136354,0.5929461,0.6961703,0.7252137,0.7357969,0.001000886,0.6526173,0.2160142,0.3429632,0.6020514,0.6470836,0.477363,0.7502245,0.006499091,0.9846066,0.7335105,0.005333573,1.001003,0.5325049,0.9097145,0.4100566,0.9409947,0.8884889,0.3141351,0.3058142,0.5499372,1.30023,0.8186734,0.9519876,0.2405252,0.4571263,-0.03813633,-0.1142779,0.7575669,0.1684097,0.8360058,0.3385763,0.7947829,0.8593379,0.4838683,0.7797709,1.149509E-05,0.9999827,0.05294978,0.8712023,0.5354924,0.8370284,0.7996033,0.1928862,0.6748458
4,0.2252156,0.2136354,0.5929461,0.6961703,0.7252137,0.7357969,0.001000871,0.6526173,0.2160142,0.3429632,0.6020514,0.6470836,0.477363,0.7502245,0.006499091,0.8145081,0.7335105,0.005333573,0.7827529,0.5325049,0.9097145,0.410097,0.9409947,0.6524094,0.3141351,0.4681449,0.5499372,0.983717,0.8186734,0.9519876,0.2405252,0.4571263,-0.03811406,0.008351827,0.7575669,0.1684133,0.8360058,0.3385763,0.7947829,0.8593379,0.3818201,0.7797709,1.149509E-05,0.9999827,0.05294913,0.8712023,0.4350497,0.8370284,0.7996033,0.1928862,0.6748458
5,0.2252156,0.2136354,0.5929461,0.6961703,0.7252137,0.7357969,0.001000871,0.6526173,0.2160142,0.3429632,0.6020514,0.6470836,0.477363,0.7502245,0.006499091,0.8145081,0.7335105,0.005333573,0.7827529,0.5325049,0.9097145,0.410097,0.9409947,0.6524094,0.3141351,0.4681449,0.5499372,0.983717,0.8186734,0.9519876,0.2405252,0.4571263,-0.03811406,0.008351827,0.7575669,0.1684133,0.8360058,0.3385763,0.7947829,0.8593379,0.3818201,0.7797709,1.149509E-05,0.9999827,0.05294913,0.8712023,0.4350497,0.8370284,0.7996033,0.1928862,0.6748458
6,0.2252156,0.2136354,0.5929461,0.6961703,0.7252137,0.7357969,0.001000871,0.6526173,0.2160142,0.3429632,0.6020514,0.6470836,0.477363,0.7502245,0.006499091,0.8145081,0.7335105,0.005333573,0.7827529,0.5325049,0.9097145,0.410097,0.9409947,0.6524094,0.3141351,0.4681449,0.5499372,0.983717,0.8186734,0.9519876,0.2405252,0.4571263,-0.03811406,0.008351827,0.7575669,0.1684133,0.8360058,0.3385763,0.7947829,0.8593379,0.3818201,0.7797709,1.149509E-05,0.9999827,0.05294913,0.8712023,0.4350497,0.8370284,0.7996033,0.1928862,0.6748458
7,0.2252156,0.2136354,0.5929461,0.6961703,0.7252137,0.7357969,0.001000871,0.6526173,0.2160142,0.3429632,0.6020514,0.6470836,0.477363,0.7502245,0.006499091,0.8145081,0.7335105,0.005333573,0.7827529,0.5325049,0.9097145,0.410097,0.9409947,0.6524094,0.3141351,0.4681449,0.5499372,0.983717,0.8186734,0.9519876,0.2405252,0.4571263,-0.03811406,0.008351827,0.7575669,0.1684133,0.8360058,0.3385763,0.7947829,0.8593379,0.3818201,0.7797709,1.149509E-05,0.9999827,0.05294913,0.8712023,0.4350497,0.8370284,0.7996033,0.1928862,0.6748458
8,0.3798179,0.2136354,0.5929461,0.6961703,0.7252137,0.7357969,0.001000871,0.6526173,0.2160142,0.3429632,0.6020514,0.6470836,0.477363,0.7502245,0.006499091,0.8145081,0.7335105,0.005333573,0.7827529,0.5325049,0.9097145,0.5293251,0.9409947,0.6524094,0.3141351,0.4681449,0.5499372,0.983717,0.8186734,0.9519876,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.1684133,0.8360058,0.3385763,0.7947829,0.8593379,0.3818201,0.7797709,1.149509E-05,0.9999827,0.05294913,0.8712023,0.4350497,0.8370284,0.7996033,0.1928862,0.6748458
9,0.3798179,0.2136354,0.5929461,0.6961703,0.7252137,0.7357969,0.001000871,0.6526173,0.2160142,0.3429632,0.6020514,0.6470836,0.477363,0.7502245,0.006499091,0.8145081,0.7335105,0.005333573,0.7827529,0.5325049,0.9097145,0.5293251,0.9409947,0.6524094,0.3141351,0.4681449,0.5499372,0.983717,0.8186734,0.9519876,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.1684133,0.8360058,0.3385763,0.7947829,0.8593379,0.3818201,0.7797709,1.149509E-05,0.9999827,0.05294913,0.8712023,0.4350497,0.8370284,0.7996033,0.1928862,0.6748458
