frames,position.x_comp,position.y_comp,position.z_comp,rotation.x_comp,rotation.y_comp,rotation.z_comp,rotation.w_comp,Spine Front-Back_comp,Spine Left-Right_comp,Spine Twist Left-Right_comp,Chest Front-Back_comp,Chest Left-Right_comp,Chest Twist Left-Right_comp,Neck Nod Down-Up_comp,Neck Tilt Left-Right_comp,Neck Turn Left-Right_comp,Head Nod Down-Up_comp,Head Tilt Left-Right_comp,Head Turn Left-Right_comp,Left Upper Leg Front-Back_comp,Left Upper Leg In-Out_comp,Left Upper Leg Twist In-Out_comp,Left Lower Leg Stretch_comp,Left Lower Leg Twist In-Out_comp,Left Foot Up-Down_comp,Left Foot Twist In-Out_comp,Right Upper Leg Front-Back_comp,Right Upper Leg In-Out_comp,Right Upper Leg Twist In-Out_comp,Right Lower Leg Stretch_comp,Right Lower Leg Twist In-Out_comp,Right Foot Up-Down_comp,Right Foot Twist In-Out_comp,Left Shoulder Down-Up_comp,Left Shoulder Front-Back_comp,Left Arm Down-Up_comp,Left Arm Front-Back_comp,Left Arm Twist In-Out_comp,Left Forearm Stretch_comp,Left Forearm Twist In-Out_comp,Left Hand Down-Up_comp,Left Hand In-Out_comp,Right Shoulder Down-Up_comp,Right Shoulder Front-Back_comp,Right Arm Down-Up_comp,Right Arm Front-Back_comp,Right Arm Twist In-Out_comp,Right Forearm Stretch_comp,Right Forearm Twist In-Out_comp,Right Hand Down-Up_comp,Right Hand In-Out_comp
0,0.9821916,0.2298923,0.3270393,0.6906343,0.5436119,0.6738661,1,0.5255486,0.2160142,0.1474809,0.6638206,0.5847524,0.4598713,0.8107713,0.2170497,0.4881803,0.798637,0.2285415,0.3547587,0.4938833,0.4184831,1,0.9518483,0.1569629,0.3907746,0.794535,0.5640832,0.3515374,0.9742735,0.962457,0.1754814,0.4558501,0.5883319,0.2515001,0.7575669,0.8765606,0.7620726,0.2727843,0.9947458,0.8170415,0.1806926,0.8976008,1.149509E-05,0.9999827,0.6948155,0.8073806,0.2422406,1.000107,0.8180171,0.1928862,0.6087625
1,0.9821916,0.2298923,0.3270393,0.6906343,0.5436119,0.6738661,1,0.5255486,0.2160142,0.1474809,0.6638206,0.5847524,0.4598713,0.8107713,0.2170497,0.4881803,0.798637,0.2285415,0.3547587,0.4938833,0.4184831,1,0.9518483,0.1569629,0.3907746,0.794535,0.5640832,0.3515374,0.9742735,0.962457,0.1754814,0.4558501,0.5883319,0.2515001,0.7575669,0.8765606,0.7620726,0.2727843,0.9947458,0.8170415,0.1806926,0.8976008,1.149509E-05,0.9999827,0.6948155,0.8073806,0.2422406,1.000107,0.8180171,0.1928862,0.6087625
2,0.3637835,0.2082178,0.5832602,0.7344658,0.7308024,0.7564409,0.001000886,0.6548209,0.2160142,0.3493693,0.6053339,0.65118,0.4895536,0.7300201,0.002672607,0.8283774,0.7116628,-0.0003764548,0.7912586,0.5466136,0.928952,0.5230068,0.9518483,0.629122,0.317969,0.4698737,0.5640832,0.9845632,0.8280661,0.962457,0.2503675,0.4558501,0.07012581,0.006240643,0.7575669,0.2375032,0.8606762,0.3349372,0.7778806,0.8843703,0.3847888,0.7823142,1.149509E-05,0.9999827,0.08653348,0.892475,0.443126,0.8606639,0.7704223,0.1928862,0.7145416
3,0.3637835,0.2082178,0.5832602,0.7344658,0.7308024,0.7564409,0.001000886,0.6548209,0.2160142,0.3493693,0.6053339,0.65118,0.4895536,0.7300201,0.002672607,0.8283774,0.7116628,-0.0003764548,0.7912586,0.5466136,0.928952,0.5230068,0.9518483,0.629122,0.317969,0.4698737,0.5640832,0.9845632,0.8280661,0.962457,0.2503675,0.4558501,0.07012581,0.006240643,0.7575669,0.2375032,0.8606762,0.3349372,0.7778806,0.8843703,0.3847888,0.7823142,1.149509E-05,0.9999827,0.08653348,0.892475,0.443126,0.8606639,0.7704223,0.1928862,0.7145416
4,0.363783,0.2082157,0.5833113,0.71255,0.7308039,0.7564404,0.001000871,0.6548381,0.2160142,0.3493677,0.6345773,0.6511803,0.4747124,0.7300534,0.002665259,0.8283666,0.711871,-0.0004037283,0.7912331,0.5202484,0.9289711,0.5230472,0.9518483,0.6290761,0.3179308,0.4698593,0.5640832,0.9845957,0.8280446,0.962457,0.2503668,0.4558501,0.07014808,0.006240643,0.7575669,0.2375068,0.8606372,0.3349397,0.7778938,0.8843632,0.3847912,0.7821032,1.149509E-05,0.9999827,0.08653282,0.8924769,0.4434049,0.8603985,0.7942197,0.1928862,0.7145331
5,0.363783,0.2082157,0.5833113,0.71255,0.7308039,0.7564404,0.001000871,0.6548381,0.2160142,0.3493677,0.6345773,0.6511803,0.4747124,0.7300534,0.002665259,0.8283666,0.711871,-0.0004037283,0.7912331,0.5202484,0.9289711,0.5230472,0.9518483,0.6290761,0.3179308,0.4698593,0.5640832,0.9845957,0.8280446,0.962457,0.2503668,0.4558501,0.07014808,0.006240643,0.7575669,0.2375068,0.8606372,0.3349397,0.7778938,0.8843632,0.3847912,0.7821032,1.149509E-05,0.9999827,0.08653282,0.8924769,0.4434049,0.8603985,0.7942197,0.1928862,0.7145331
6,0.363783,0.2082157,0.5833113,0.71255,0.7308039,0.7564404,0.001000871,0.6548381,0.2160142,0.3493677,0.6345773,0.6511803,0.4747124,0.7300534,0.002665259,0.8283666,0.711871,-0.0004037283,0.7912331,0.5202484,0.9289711,0.5230472,0.9518483,0.6290761,0.3179308,0.4698593,0.5640832,0.9845957,0.8280446,0.962457,0.2503668,0.4558501,0.07014808,0.006240643,0.7575669,0.2375068,0.8606372,0.3349397,0.7778938,0.8843632,0.3847912,0.7821032,1.149509E-05,0.9999827,0.08653282,0.8924769,0.4434049,0.8603985,0.7942197,0.1928862,0.7145331
7,0.363783,0.2082157,0.5833113,0.71255,0.7308039,0.7564404,0.001000871,0.6548381,0.2160142,0.3493677,0.6345773,0.6511803,0.4747124,0.7300534,0.002665259,0.8283666,0.711871,-0.0004037283,0.7912331,0.5202484,0.9289711,0.5230472,0.9518483,0.6290761,0.3179308,0.4698593,0.5640832,0.9845957,0.8280446,0.962457,0.2503668,0.4558501,0.07014808,0.006240643,0.7575669,0.2375068,0.8606372,0.3349397,0.7778938,0.8843632,0.3847912,0.7821032,1.149509E-05,0.9999827,0.08653282,0.8924769,0.4434049,0.8603985,0.7942197,0.1928862,0.7145331
8,0.363783,0.2136354,0.5833113,0.71255,0.7308039,0.7357969,0.001000871,0.6548381,0.2160142,0.3493677,0.6345773,0.6511803,0.4747124,0.7502245,0.002665259,0.8283666,0.7335105,-0.0004037283,0.7912331,0.5202484,0.9289711,0.5230472,0.9518483,0.6290761,0.3179308,0.4698593,0.5640832,0.9845957,0.8280446,0.962457,0.2316456,0.4558501,0.07014808,0.006240643,0.7575669,0.2375068,0.8360058,0.3349397,0.7778938,0.8675346,0.3847912,0.8110303,1.149509E-05,0.9999827,0.08653282,0.8712023,0.4434049,0.8603985,0.7942197,0.1928862,0.6880925
9,0.363783,0.2136354,0.5833113,0.71255,0.7308039,0.7357969,0.001000871,0.6548381,0.2160142,0.3493677,0.6345773,0.6511803,0.4747124,0.7502245,0.002665259,0.8283666,0.7335105,-0.0004037283,0.7912331,0.5202484,0.9289711,0.5230472,0.9518483,0.6290761,0.3179308,0.4698593,0.5640832,0.9845957,0.8280446,0.962457,0.2316456,0.4558501,0.07014808,0.006240643,0.7575669,0.2375068,0.8360058,0.3349397,0.7778938,0.8675346,0.3847912,0.8110303,1.149509E-05,0.9999827,0.08653282,0.8712023,0.4434049,0.8603985,0.7942197,0.1928862,0.6880925
