frames,position.x_comp,position.y_comp,position.z_comp,rotation.x_comp,rotation.y_comp,rotation.z_comp,rotation.w_comp,Spine Front-Back_comp,Spine Left-Right_comp,Spine Twist Left-Right_comp,Chest Front-Back_comp,Chest Left-Right_comp,Chest Twist Left-Right_comp,Neck Nod Down-Up_comp,Neck Tilt Left-Right_comp,Neck Turn Left-Right_comp,Head Nod Down-Up_comp,Head Tilt Left-Right_comp,Head Turn Left-Right_comp,Left Upper Leg Front-Back_comp,Left Upper Leg In-Out_comp,Left Upper Leg Twist In-Out_comp,Left Lower Leg Stretch_comp,Left Lower Leg Twist In-Out_comp,Left Foot Up-Down_comp,Left Foot Twist In-Out_comp,Right Upper Leg Front-Back_comp,Right Upper Leg In-Out_comp,Right Upper Leg Twist In-Out_comp,Right Lower Leg Stretch_comp,Right Lower Leg Twist In-Out_comp,Right Foot Up-Down_comp,Right Foot Twist In-Out_comp,Left Shoulder Down-Up_comp,Left Shoulder Front-Back_comp,Left Arm Down-Up_comp,Left Arm Front-Back_comp,Left Arm Twist In-Out_comp,Left Forearm Stretch_comp,Left Forearm Twist In-Out_comp,Left Hand Down-Up_comp,Left Hand In-Out_comp,Right Shoulder Down-Up_comp,Right Shoulder Front-Back_comp,Right Arm Down-Up_comp,Right Arm Front-Back_comp,Right Arm Twist In-Out_comp,Right Forearm Stretch_comp,Right Forearm Twist In-Out_comp,Right Hand Down-Up_comp,Right Hand In-Out_comp
0,0.9821916,0.2244726,0.3343219,0.7104632,0.5496589,0.6738661,1,0.5556545,0.2160142,0.1537166,0.6345773,0.5972627,0.477363,0.7502245,0.1940846,0.4963917,0.7769976,0.2204194,0.3611471,0.5202484,0.4314064,1,0.9409947,0.1569629,0.3505379,0.7880419,0.5640832,0.3632129,0.9442632,0.9519876,0.1942026,0.4495873,0.5757361,0.2459473,0.7575669,0.8765606,0.7867041,0.2878806,0.9823202,0.8338702,0.1904074,0.850431,1.149509E-05,0.9999827,0.6948155,0.8286552,0.2447347,0.9765431,0.7942197,0.1928862,0.6880925
1,0.9821916,0.2244726,0.3343219,0.7104632,0.5496589,0.6738661,1,0.5556545,0.2160142,0.1537166,0.6345773,0.5972627,0.477363,0.7502245,0.1940846,0.4963917,0.7769976,0.2204194,0.3611471,0.5202484,0.4314064,1,0.9409947,0.1569629,0.3505379,0.7880419,0.5640832,0.3632129,0.9442632,0.9519876,0.1942026,0.4495873,0.5757361,0.2459473,0.7575669,0.8765606,0.7867041,0.2878806,0.9823202,0.8338702,0.1904074,0.850431,1.149509E-05,0.9999827,0.6948155,0.8286552,0.2447347,0.9765431,0.7942197,0.1928862,0.6880925
2,0.3637835,0.2027981,0.5905427,0.7104632,0.7368494,0.7564409,0.001000886,0.6849267,0.2160142,0.3556049,0.6345773,0.6636904,0.477363,0.7502245,-0.02029254,0.8365888,0.6900234,-0.00849857,0.7976471,0.5202484,0.9418753,0.5230068,0.9409947,0.629122,0.2777323,0.4633807,0.5640832,0.9962386,0.7980558,0.9519876,0.2690887,0.4495873,0.05752995,0.000687798,0.7575669,0.2375032,0.8853076,0.3500334,0.765455,0.901199,0.3945036,0.7351443,1.149509E-05,0.9999827,0.08653348,0.9137495,0.4456201,0.8370997,0.7942197,0.1928862,0.6880925
3,0.3637835,0.2027981,0.5905427,0.7104632,0.7368494,0.7564409,0.001000886,0.6849267,0.2160142,0.3556049,0.6345773,0.6636904,0.477363,0.7502245,-0.02029254,0.8365888,0.6900234,-0.00849857,0.7976471,0.5202484,0.9418753,0.5230068,0.9409947,0.629122,0.2777323,0.4633807,0.5640832,0.9962386,0.7980558,0.9519876,0.2690887,0.4495873,0.05752995,0.000687798,0.7575669,0.2375032,0.8853076,0.3500334,0.765455,0.901199,0.3945036,0.7351443,1.149509E-05,0.9999827,0.08653348,0.9137495,0.4456201,0.8370997,0.7942197,0.1928862,0.6880925
4,0.363783,0.2136354,0.5905939,0.7104632,0.7368509,0.7564404,0.001000871,0.684944,0.2160142,0.3556034,0.6345773,0.6636907,0.477363,0.7502245,-0.02029989,0.8365781,0.7335105,-0.008525844,0.7976215,0.5202484,0.9418943,0.5230472,0.9409947,0.6290761,0.3141351,0.4633662,0.5640832,0.9962711,0.7980343,0.9519876,0.2316456,0.4495873,0.05755222,0.000687798,0.7575669,0.2375068,0.8360058,0.350036,0.7654682,0.8675346,0.394506,0.7927876,1.149509E-05,0.9999827,0.08653282,0.8712023,0.445899,0.8368344,0.7942197,0.1928862,0.6880925
5,0.363783,0.2136354,0.5905939,0.7104632,0.7368509,0.7564404,0.001000871,0.684944,0.2160142,0.3556034,0.6345773,0.6636907,0.477363,0.7502245,-0.02029989,0.8365781,0.7335105,-0.008525844,0.7976215,0.5202484,0.9418943,0.5230472,0.9409947,0.6290761,0.3141351,0.4633662,0.5640832,0.9962711,0.7980343,0.9519876,0.2316456,0.4495873,0.05755222,0.000687798,0.7575669,0.2375068,0.8360058,0.350036,0.7654682,0.8675346,0.394506,0.7927876,1.149509E-05,0.9999827,0.08653282,0.8712023,0.445899,0.8368344,0.7942197,0.1928862,0.6880925
6,0.363783,0.2136354,0.5905939,0.7104632,0.7368509,0.7564404,0.001000871,0.684944,0.2160142,0.3556034,0.6345773,0.6636907,0.477363,0.7502245,-0.02029989,0.8365781,0.7335105,-0.008525844,0.7976215,0.5202484,0.9418943,0.5230472,0.9409947,0.6290761,0.3141351,0.4633662,0.5640832,0.9962711,0.7980343,0.9519876,0.2316456,0.4495873,0.05755222,0.000687798,0.7575669,0.2375068,0.8360058,0.350036,0.7654682,0.8675346,0.394506,0.7927876,1.149509E-05,0.9999827,0.08653282,0.8712023,0.445899,0.8368344,0.7942197,0.1928862,0.6880925
7,0.363783,0.2136354,0.5905939,0.7104632,0.7368509,0.7564404,0.001000871,0.684944,0.2160142,0.3556034,0.6345773,0.6636907,0.477363,0.7502245,-0.02029989,0.8365781,0.7335105,-0.008525844,0.7976215,0.5202484,0.9418943,0.5230472,0.9409947,0.6290761,0.3141351,0.4633662,0.5640832,0.9962711,0.7980343,0.9519876,0.2316456,0.4495873,0.05755222,0.000687798,0.7575669,0.2375068,0.8360058,0.350036,0.7654682,0.8675346,0.394506,0.7927876,1.149509E-05,0.9999827,0.08653282,0.8712023,0.445899,0.8368344,0.7942197,0.1928862,0.6880925
8,0.363783,0.2136354,0.5905939,0.7104632,0.7368509,0.7357969,0.001000871,0.6526173,0.2160142,0.3556034,0.6345773,0.6470836,0.477363,0.7502245,-0.02029989,0.8365781,0.7335105,-0.008525844,0.7976215,0.5202484,0.9418943,0.5230472,0.9409947,0.6290761,0.3141351,0.4633662,0.5640832,0.9962711,0.8345969,0.9519876,0.2316456,0.4495873,0.05755222,0.000687798,0.7575669,0.2375068,0.8360058,0.3344965,0.7654682,0.8675346,0.394506,0.7927876,1.149509E-05,0.9999827,0.08653282,0.8712023,0.445899,0.8718279,0.7942197,0.1928862,0.6880925
9,0.363783,0.2136354,0.5905939,0.7104632,0.7368509,0.7357969,0.001000871,0.6526173,0.2160142,0.3556034,0.6345773,0.6470836,0.477363,0.7502245,-0.02029989,0.8365781,0.7335105,-0.008525844,0.7976215,0.5202484,0.9418943,0.5230472,0.9409947,0.6290761,0.3141351,0.4633662,0.5640832,0.9962711,0.8345969,0.9519876,0.2316456,0.4495873,0.05755222,0.000687798,0.7575669,0.2375068,0.8360058,0.3344965,0.7654682,0.8675346,0.394506,0.7927876,1.149509E-05,0.9999827,0.08653282,0.8712023,0.445899,0.8718279,0.7942197,0.1928862,0.6880925
